model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,little_or_no_damage,little_or_no_damage,12,12,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,little_or_no_damage,mild_damage,0,12,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,little_or_no_damage,severe_damage,0,12,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,mild_damage,little_or_no_damage,1,5,0.2,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,mild_damage,mild_damage,3,5,0.6,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,mild_damage,severe_damage,1,5,0.2,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,severe_damage,little_or_no_damage,0,15,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,severe_damage,mild_damage,2,15,0.13333333333333333,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,severe_damage,severe_damage,13,15,0.8666666666666667,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,little_or_no_damage,little_or_no_damage,11,12,0.9166666666666666,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,little_or_no_damage,mild_damage,1,12,0.08333333333333333,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,little_or_no_damage,severe_damage,0,12,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,mild_damage,little_or_no_damage,1,5,0.2,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,mild_damage,mild_damage,4,5,0.8,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,mild_damage,severe_damage,0,5,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,severe_damage,little_or_no_damage,2,15,0.13333333333333333,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,severe_damage,mild_damage,0,15,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,severe_damage,severe_damage,13,15,0.8666666666666667,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt09,little_or_no_damage,little_or_no_damage,12,12,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt09,little_or_no_damage,mild_damage,0,12,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt09,little_or_no_damage,severe_damage,0,12,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt09,mild_damage,little_or_no_damage,1,5,0.2,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt09,mild_damage,mild_damage,4,5,0.8,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt09,mild_damage,severe_damage,0,5,0.0,upward
