model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,little_or_no_damage,mild_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,little_or_no_damage,severe_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,mild_damage,little_or_no_damage,4,12,0.3333333333333333,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,mild_damage,mild_damage,8,12,0.6666666666666666,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,mild_damage,severe_damage,0,12,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,severe_damage,little_or_no_damage,2,23,0.08695652173913043,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,severe_damage,mild_damage,1,23,0.043478260869565216,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_label,severe_damage,severe_damage,20,23,0.8695652173913043,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,little_or_no_damage,mild_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,little_or_no_damage,severe_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,mild_damage,little_or_no_damage,2,12,0.16666666666666666,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,mild_damage,mild_damage,9,12,0.75,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,mild_damage,severe_damage,1,12,0.08333333333333333,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,severe_damage,little_or_no_damage,0,23,0.0,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,severe_damage,mild_damage,0,23,0.0,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,direct_natural,severe_damage,severe_damage,23,23,1.0,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,little_or_no_damage,mild_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,little_or_no_damage,severe_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,mild_damage,little_or_no_damage,3,12,0.25,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,mild_damage,mild_damage,9,12,0.75,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,mild_damage,severe_damage,0,12,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,severe_damage,little_or_no_damage,1,23,0.043478260869565216,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,severe_damage,mild_damage,3,23,0.13043478260869565,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_plain,severe_damage,severe_damage,19,23,0.8260869565217391,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,little_or_no_damage,mild_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,little_or_no_damage,severe_damage,0,22,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,mild_damage,little_or_no_damage,3,12,0.25,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,mild_damage,mild_damage,9,12,0.75,unchanged
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,mild_damage,severe_damage,0,12,0.0,upward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,severe_damage,little_or_no_damage,0,23,0.0,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,severe_damage,mild_damage,4,23,0.17391304347826086,downward
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,text,misleading_authority,severe_damage,severe_damage,19,23,0.8260869565217391,unchanged
