model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,little_or_no_damage,little_or_no_damage,25,25,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,little_or_no_damage,mild_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,little_or_no_damage,severe_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,mild_damage,little_or_no_damage,3,10,0.3,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,mild_damage,mild_damage,7,10,0.7,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,mild_damage,severe_damage,0,10,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,severe_damage,mild_damage,0,21,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_label,severe_damage,severe_damage,21,21,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,little_or_no_damage,little_or_no_damage,25,25,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,little_or_no_damage,mild_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,little_or_no_damage,severe_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,mild_damage,little_or_no_damage,3,10,0.3,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,mild_damage,mild_damage,6,10,0.6,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,mild_damage,severe_damage,1,10,0.1,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,severe_damage,mild_damage,0,21,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,direct_natural,severe_damage,severe_damage,21,21,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,little_or_no_damage,little_or_no_damage,25,25,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,little_or_no_damage,mild_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,little_or_no_damage,severe_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,mild_damage,little_or_no_damage,3,10,0.3,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,mild_damage,mild_damage,7,10,0.7,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,mild_damage,severe_damage,0,10,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,severe_damage,mild_damage,0,21,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_plain,severe_damage,severe_damage,21,21,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,little_or_no_damage,little_or_no_damage,25,25,1.0,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,little_or_no_damage,mild_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,little_or_no_damage,severe_damage,0,25,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,mild_damage,little_or_no_damage,4,10,0.4,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,mild_damage,mild_damage,6,10,0.6,unchanged
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,mild_damage,severe_damage,0,10,0.0,upward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,severe_damage,mild_damage,1,21,0.047619047619047616,downward
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,text,misleading_authority,severe_damage,severe_damage,20,21,0.9523809523809523,unchanged
